player_id	daily_recharge	platform_profit	loss_percentage	offer_tier
18863138	1000.00	1034.50	103.45	500-1999 (25% cashback)
19461673	1000.00	1306.70	130.67	500-1999 (25% cashback)
20645602	1000.00	1061.00	106.10	500-1999 (25% cashback)
20934136	1000.00	1038.14	103.81	500-1999 (25% cashback)
22486052	1000.00	1226.70	122.67	500-1999 (25% cashback)
23923871	1000.00	1038.49	103.85	500-1999 (25% cashback)
24210156	1000.00	1102.60	110.26	500-1999 (25% cashback)
25381229	1000.00	1121.10	112.11	500-1999 (25% cashback)
25589251	1000.00	1314.30	131.43	500-1999 (25% cashback)
25751070	1000.00	1089.00	108.90	500-1999 (25% cashback)
28330948	1000.00	1069.70	106.97	500-1999 (25% cashback)
28648298	1000.00	1169.90	116.99	500-1999 (25% cashback)
29416861	1000.00	1212.25	121.23	500-1999 (25% cashback)
29481894	1000.00	1047.00	104.70	500-1999 (25% cashback)
29562041	1000.00	1276.00	127.60	500-1999 (25% cashback)
29855668	1000.00	1190.76	119.08	500-1999 (25% cashback)
30005260	1000.00	1031.25	103.13	500-1999 (25% cashback)
30191659	1000.00	1081.19	108.12	500-1999 (25% cashback)
30299475	1000.00	1244.16	124.42	500-1999 (25% cashback)
30773554	1000.00	1055.96	105.60	500-1999 (25% cashback)
31667101	1000.00	1155.20	115.52	500-1999 (25% cashback)
32236155	1000.00	1087.27	108.73	500-1999 (25% cashback)
32618292	1000.00	1185.55	118.56	500-1999 (25% cashback)
32999687	1000.00	1188.00	118.80	500-1999 (25% cashback)
33186115	1000.00	1124.93	112.49	500-1999 (25% cashback)
34347116	1000.00	1080.10	108.01	500-1999 (25% cashback)
35359688	1000.00	1158.00	115.80	500-1999 (25% cashback)
35550341	1000.00	1027.00	102.70	500-1999 (25% cashback)
37950235	1000.00	1152.02	115.20	500-1999 (25% cashback)
39523486	1000.00	1114.60	111.46	500-1999 (25% cashback)
39564422	1000.00	1161.80	116.18	500-1999 (25% cashback)
39937886	1000.00	1037.60	103.76	500-1999 (25% cashback)
39973724	1000.00	1019.43	101.94	500-1999 (25% cashback)
40640115	1000.00	1042.00	104.20	500-1999 (25% cashback)
40655712	1000.00	1600.32	160.03	500-1999 (25% cashback)
41057863	1000.00	1180.00	118.00	500-1999 (25% cashback)
41501995	1000.00	1035.80	103.58	500-1999 (25% cashback)
42025713	1000.00	1044.50	104.45	500-1999 (25% cashback)
42037675	1000.00	1823.10	182.31	500-1999 (25% cashback)
