player_id	total_recharge	total_withdraw	net_loss	loss_percent	recharge_tier
20461269	6001.00	0.00	6001.00	100.0	3500+
10718426	6000.00	0.00	6000.00	100.0	3500+
10796438	6000.00	0.00	6000.00	100.0	3500+
13592225	6000.00	0.00	6000.00	100.0	3500+
15294717	6000.00	0.00	6000.00	100.0	3500+
19352999	6000.00	0.00	6000.00	100.0	3500+
21980068	6000.00	0.00	6000.00	100.0	3500+
23544834	6000.00	0.00	6000.00	100.0	3500+
74822066	6000.00	0.00	6000.00	100.0	3500+
75658101	6000.00	0.00	6000.00	100.0	3500+
78261088	6000.00	0.00	6000.00	100.0	3500+
80385539	6000.00	0.00	6000.00	100.0	3500+
81145312	6000.00	0.00	6000.00	100.0	3500+
84693527	6000.00	0.00	6000.00	100.0	3500+
53129844	6000.00	0.00	6000.00	100.0	3500+
53160078	6000.00	0.00	6000.00	100.0	3500+
57253705	6000.00	0.00	6000.00	100.0	3500+
59120366	6000.00	200.00	5800.00	96.7	3500+
60409091	6000.00	596.00	5404.00	90.1	3500+
63583898	6000.00	0.00	6000.00	100.0	3500+
63712011	6000.00	0.00	6000.00	100.0	3500+
67907975	6000.00	0.00	6000.00	100.0	3500+
88096001	6000.00	0.00	6000.00	100.0	3500+
31449256	6000.00	0.00	6000.00	100.0	3500+
31964298	6000.00	0.00	6000.00	100.0	3500+
35469844	6000.00	0.00	6000.00	100.0	3500+
36529433	6000.00	0.00	6000.00	100.0	3500+
39433404	6000.00	0.00	6000.00	100.0	3500+
46088520	6000.00	0.00	6000.00	100.0	3500+
15821424	5998.00	0.00	5998.00	100.0	3500+
71655696	5900.00	0.00	5900.00	100.0	3500+
78360376	5900.00	0.00	5900.00	100.0	3500+
36944456	5820.00	0.00	5820.00	100.0	3500+
42453697	5800.00	0.00	5800.00	100.0	3500+
48597784	5800.00	0.00	5800.00	100.0	3500+
28369083	5800.00	0.00	5800.00	100.0	3500+
98321225	5800.00	0.00	5800.00	100.0	3500+
77328151	5799.00	0.00	5799.00	100.0	3500+
91721815	5791.00	0.00	5791.00	100.0	3500+
87752206	5750.00	0.00	5750.00	100.0	3500+
18809990	5750.00	0.00	5750.00	100.0	3500+
21698785	5724.00	400.00	5324.00	93.0	3500+
69346860	5700.00	0.00	5700.00	100.0	3500+
79400624	5700.00	0.00	5700.00	100.0	3500+
54231291	5700.00	0.00	5700.00	100.0	3500+
55307345	5700.00	0.00	5700.00	100.0	3500+
56540705	5700.00	0.00	5700.00	100.0	3500+
15054623	5650.00	0.00	5650.00	100.0	3500+
88374857	5630.00	300.00	5330.00	94.7	3500+
94099895	5600.00	0.00	5600.00	100.0	3500+
80735872	5600.00	0.00	5600.00	100.0	3500+
37973464	5600.00	0.00	5600.00	100.0	3500+
39004907	5600.00	0.00	5600.00	100.0	3500+
22726684	5600.00	0.00	5600.00	100.0	3500+
25319097	5600.00	0.00	5600.00	100.0	3500+
44443222	5590.00	0.00	5590.00	100.0	3500+
