player_id	daily_recharge	daily_withdraw	net_loss	loss_percentage	offer_tier
69276815	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
69345384	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
69836939	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
72232572	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
72643565	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
75754337	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
81346629	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
81614059	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
82803911	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
83051112	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
83974946	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
87618242	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
89824016	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
90667029	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
91475035	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
97865569	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
99452259	2000.00	0.00	2000.00	100.00	2000-3499 (30% cashback)
88450788	1980.00	0.00	1980.00	100.00	500-1999 (25% cashback)
12262327	1950.00	0.00	1950.00	100.00	500-1999 (25% cashback)
44431265	1900.00	0.00	1900.00	100.00	500-1999 (25% cashback)
63492823	1900.00	0.00	1900.00	100.00	500-1999 (25% cashback)
76894013	1900.00	0.00	1900.00	100.00	500-1999 (25% cashback)
58410686	1871.00	0.00	1871.00	100.00	500-1999 (25% cashback)
15821424	1850.00	0.00	1850.00	100.00	500-1999 (25% cashback)
11347233	1800.00	0.00	1800.00	100.00	500-1999 (25% cashback)
14981363	1800.00	0.00	1800.00	100.00	500-1999 (25% cashback)
22005130	1800.00	0.00	1800.00	100.00	500-1999 (25% cashback)
30359848	1800.00	0.00	1800.00	100.00	500-1999 (25% cashback)
39014156	1800.00	0.00	1800.00	100.00	500-1999 (25% cashback)
47015641	1800.00	0.00	1800.00	100.00	500-1999 (25% cashback)
62214117	1800.00	0.00	1800.00	100.00	500-1999 (25% cashback)
86403795	1800.00	0.00	1800.00	100.00	500-1999 (25% cashback)
94119380	1800.00	0.00	1800.00	100.00	500-1999 (25% cashback)
13518141	1700.00	0.00	1700.00	100.00	500-1999 (25% cashback)
48717676	1700.00	0.00	1700.00	100.00	500-1999 (25% cashback)
63952913	1700.00	0.00	1700.00	100.00	500-1999 (25% cashback)
81289623	1700.00	0.00	1700.00	100.00	500-1999 (25% cashback)
88564257	1700.00	0.00	1700.00	100.00	500-1999 (25% cashback)
